LEI,Legal Name,Parent LEI,Parent Legal Name
21380019V833NAZN5T10,THE FREEDMAN 2017 DISCRETIONARY TRUST,N/A,N/A
21380019VJ4F4D8ZU976,THE JOANNA WILSON 2009 DISCRETIONARY SETTLEMENT,N/A,N/A
21380019WK8322WACR79,SOLAR HOLDINGS HOLDCO LIMITED,N/A,N/A
21380019WP9BOZJDM596,FINE ART FINANCIAL SERVICES LIMITED,N/A,N/A
21380019VR6U8DW5IS96,TRICOLOR INVESTMENTS LIMITED,N/A,N/A
21380019VPAOKPVQWT13,TRUSTEES OF ARNOLD LAVER SETTLEMENT - KIM'S SHARE,N/A,N/A
21380019W9TOF3PV6F84,FROST ASSET MANAGEMENT AB,N/A,N/A
21380019VA2839W99J36,PACIFIC SHELF 1752 LIMITED,N/A,N/A
21380019VOHUNXTRWC61,SHARD CAPITAL FUNDS - SHARD CAPITAL EQUITIES FUND,N/A,N/A
21380019XB5ANZZMPY08,THE ARTHUR FREDERICK BLUNSUM TRUST,N/A,N/A
21380019XHUW2Z6EVO67,"ΒΑΣ. ΑΡΧΟΝΤΑΚΗΣ ΑΝΩΝΥΜΟΣ ΒΙΟΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΤΥΠΟΠΟΙΗΣΗΣ, ΕΜΠΟΡΙΑΣ ΚΑΦΕ-ΤΡΟΦΙΜΑ, ΠΟΤΑ",N/A,N/A
21380019XLU4ZSKWHC23,GORDON MACLENNAN'S 2019 DISCRETIONARY TRUST,N/A,N/A
21380019XTT6BG86HQ17,NEWPORT SERVICE GROUP LLP,N/A,N/A
21380019XLW5K8V6B382,F.A.M. TECHNOLOGY FUND,N/A,N/A
21380019VT8FF9USS465,JOSEPH METCALF TOP UP SCHEME,N/A,N/A
21380019VGO8I8K5KO40,COBHAM FRANCE,222100GQMVQ4KP4KJS35,AI CONVOY (LUXEMBOURG) S.À R.L.
21380019ZP6JWCPFRV85,ROBERTS & SONS (CURERS) LIMITED,N/A,N/A
21380019YPT4LMUCG252,THE MICHAEL THOMPSON WILL TRUST,N/A,N/A
21380019Y9FHL3ATXU29,ST BRIDE FOUNDATION,N/A,N/A
21380019ZPZJIZLNIT33,MRS JOAN M FALCONER'S TRUST,N/A,N/A
21380019Z5JK55OV1Y87,MRS S M SWEET DECEASED 57,N/A,N/A
21380019YHSHQEIW7T26,CHANNEL SOLAR LIMITED,N/A,N/A
21380019Z26OJEKB7636,MRS GLENYS A PRITCHARD DISCRETIONARY,N/A,N/A
21380019ZFQB4KBJ4808,THE FELIX NEARY TRUST,N/A,N/A
2138001A1171KGNW6G39,HARMER SLATER LIMITED,N/A,N/A
2138001A11NKFOYE7807,ROL PLANTHIRE LIMITED,N/A,N/A
2138001A1884SYA67G42,MULTI ASSET INFLATION PLUS,N/A,N/A
21380019ZXVYQ668E112,COMPARTIMENT TER,N/A,N/A
21380019ZOMIW7I92J97,TDP BALANCED DEDICATED SUB-FUND # 59,N/A,N/A
21380019ZXBTZFYAAD21,HGCAPITAL 6 D L.P.,N/A,N/A
2138001A11QZTEW6I690,UNITED FRIENDLY INSURANCE LIMITED,G8FFYFZ5TIO54GXBFZ14,"ROYAL LONDON MUTUAL INSURANCE SOCIETY,LIMITED(THE)"
2138001A1VOKSQI8DM95,THE SUTTON TRUST.,N/A,N/A
2138001A1S7AWFGKJV48,REGINALD NEIL BROMFIELD DISCRETIONARY TRUST,N/A,N/A
2138001A22DP8OTYR415,PHYLLIS MARY HARRIS WILL TRUST,N/A,N/A
2138001A1YCPE32CFH48,THE STOKER CHARITABLE FOUNDATION,N/A,N/A
2138001A1F5OBKTIPD21,THE BODOWEN SETTLEMENT,N/A,N/A
2138001A2AHGD4HQ3C79,SAPPHIRE (BURNLEY) NOMINEE LIMITED,N/A,N/A
2138001A2EGSB8SBI156,THE MCFC NO.1 EMPLOYER FINANCED RETIREMENT BENEFITS SCHEME,N/A,N/A
2138001A1ZVCWIULR570,KINGSWAY INVESTMENTS LIMITED,N/A,N/A
2138001A2O8GOSOGL881,MAINSTREET CAPITAL PARTNERS LIMITED,N/A,N/A
2138001A2SWJOKOWFY97,MERITWELL II LIMITED,N/A,N/A
2138001A2X7GSGBYKE34,ALAN CARR GRANDCHILDREN'S SETTLEMENT,N/A,N/A
2138001A2UYJ54Z4LH87,PRIVESTA FUND LIMITED PARTNERSHIP,N/A,N/A
2138001A2453TFQ7Q409,LIONTRUST UK OPPORTUNITIES FUND,JM2M2DEHJ8GMEAMDMU80,LIONTRUST INVESTMENT MANAGEMENT LIMITED
2138001A2YM42Z48NI19,ONE PEAK GROWTH III SCSP,N/A,N/A
2138001A1R8VSSITX144,MDL MARINAS GROUP LIMITED,213800ROUDFSDX5HQT90,YATTENDON GROUP PLC
2138001A3A8J2G89UR51,ΑΦΟΙ ΠΡΟΪΣΤΑΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑΣ ΑΝΤΙΠΡΟΣΩΠΕΥΣΗΣ ΕΙΔΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΠΟΤΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΤΟΥΡΙΣΤΙΚΕΣ ΚΑΙ ΞΕΝΟΔΟΧΕΙΑΚΕΣ,N/A,N/A
2138001A4Q9I9881QG68,EDEY FAMILY PENSION TRUST,N/A,N/A
2138001A314ZJ9DN4A31,THE WILLIAM BURNS 1963 SETTLEMENT,N/A,N/A
2138001A3Y1KAKEN7U18,CASTLEFIELD PARTNERS LTD RETIREMENT BENEFITS SCHEME (JPB),N/A,N/A
2138001A4JJ675D3KG18,THE HILLGATE TRUST,N/A,N/A
2138001A4BILYBRRMB28,DGWORKS LIMITED,N/A,N/A
2138001A4HFYU2Q9N811,LUCTOR INVESTMENTS LIMITED,N/A,N/A
2138001A3SBQBYQH7839,YELLOW BEAR FINANCIAL CONSULTANCY LLP,N/A,N/A
2138001A4533FUFAXU77,I.M.C. DEMAND (CY) LIMITED,N/A,N/A
2138001A57LU92P4UA59,MACX3 LIMITED,N/A,N/A
2138001A69XRO36FSC38,THE CATHOLIC ASSOCIATION,N/A,N/A
2138001A64OQ3YM6RD45,GBRM PENSION SCHEME SSAS,N/A,N/A
2138001A5IN4R8Y2WY18,AWESOME FOURSOME INVESTMENTS PTY LTD,N/A,N/A
2138001A3TTBHI4VSZ41,UNIVERSITYBUS LIMITED,213800U9SYI8XEGDX158,UNIVERSITY OF HERTFORDSHIRE
2138001A6AZXB1UQY248,WEYWORTH LIMITED,N/A,N/A
2138001A6TBAPE44PH02,HARRY PLATT DISCRETIONARY TRUST,N/A,N/A
2138001A7NVXH4HF3729,CAPITAL INDUSTRIAL ONE B.V.,N/A,N/A
2138001A6MBUTPYJVA32,SEA RIPPLE INVESTMENTS LIMITED,N/A,N/A
2138001A7GYDSUP7TG33,THE JOHN ARTHUR DIXON DECEASED WILL TRUST,N/A,N/A
2138001A7Z5OFLEWAV22,HIGHLANDS HOUSE INVESTMENTS LIMITED,N/A,N/A
2138001A861GS9MYZC41,MRS C Y G BRADFORD WILL TRUST,N/A,N/A
2138001A6NTZFW4C5Z42,FRADLEY 3 LIMITED,N/A,N/A
2138001A83KYPH1GBI46,VERDIPAPIRFONDET PLUSS AKSJE,N/A,N/A
2138001A8M3NSV2WW364,TRUSK 2010 LIMITED,N/A,N/A
2138001A6GAHQE7M1S97,FRANK SHANNON B SETTLEMENT,N/A,N/A
2138001A98QIDPDF5J79,Guldborgsund Kommune,N/A,N/A
2138001AABASWTC41G17,THE D C MORGAN & CO PENSION SCHEME,N/A,N/A
2138001AA6FYALNMGJ30,IAN HALL INCOME TRUST NUMBER 10,N/A,N/A
2138001AAG2UAFWB5455,ROBIN LEE'S CHILDREN'S TRUST,N/A,N/A
2138001AA22ZVJUTP650,MRS E A MYERS 2016 DISCRETIONARY SETTLEMENT,N/A,N/A
2138001AAUHGCB7E8G44,GRAHAM STANLEY (CONSULTANCY SERVICES) LIMITED,N/A,N/A
2138001ABPG9RTD65X09,THE REAR ADMIRAL HILARY CHARLES NICHOLAS GOODHART DISCRETIONARY TRUST,N/A,N/A
2138001AC53H9M6K1R14,POWERHOUSE BIDCO S.À R.L.,N/A,N/A
2138001AB122MAXDFL06,S.F.E. EQUITY INVESTMENTS S.A R.L.,N/A,N/A
2138001ACNU19VMR2227,"Africa Conservation and Communities Tourism Fund, SCSp SICAV-RAIF",N/A,N/A
2138001AAJWONW2C5Z52,PANDAN MŰANYAGFELDOLGOZÓ ÉS KÖRNYEZETTECHNIKAI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,N/A,N/A
2138001AD5WQRI3BJZ42,TRUSTEES OF D G KIGHT DECEASED,N/A,N/A
2138001AD31KKD29Z495,DIALIGHT PLC,N/A,N/A
2138001ACCB94PDK6T84,VIG MoneyMaxx Feltörekvő Piaci Total Return Befektetési Alap,N/A,N/A
2138001AEANNWS63L841,COLIN HOOD DISCRETIONARY TRUST 2,N/A,N/A
2138001ADOPXMQSN9L49,INGAME RECRUITMENT LTD,N/A,N/A
2138001ADRFYLG3REF34,FORTE FINANCIAL CONSULTANCY LTD,N/A,N/A
2138001ABK7ONAT2AC19,RAM PARTNERS LIMITED,N/A,N/A
2138001ADPVDHWC8MU72,DYREGROV HOLDING AS,N/A,N/A
2138001AEDHL6DWYG737,BRUNTWOOD MANAGEMENT SERVICES LIMITED,213800ZX2CGN7UUXYC31,BRUNTWOOD LIMITED
2138001AGV262ZIHRT09,DR JG BOURNE'S DISCRETIONARY SETTLEMENT,N/A,N/A
2138001AG5AHD59SCC81,LYCIDAS TRUSTEE COMPANY LIMITED,N/A,N/A
2138001AFKML189MHT56,THE DORADO FUND,N/A,N/A
2138001AGTYO38RCDL19,THE RICHARD DERBY WILL TRUST,N/A,N/A
2138001AFQNXK3G9KB92,LDI SOLUTIONS PLUS PARTIALLY FUNDED INDEX-LINKED GILTS FUNDS 2031 - 2040,N/A,N/A
2138001AEL9BCMHOK393,NORTHERN PHARMACIES TRUST FUND,N/A,N/A
2138001AF1OAH4LLWD79,ARCUS EUROPEAN INFRASTRUCTURE FUND 3 SCSP,N/A,N/A
2138001AETZK75ZGD745,JOHN DOUGLAS HORNER DISCRETIONARY TRUST,N/A,N/A
2138001AFQVNKCO1JE61,C.H.MANN SETTLEMENT (FOR MRS V.G.M.SCHOOLER),N/A,N/A
2138001AEPA2D9B7SI52,HYUNDAI BIL IMPORT A/S,N/A,N/A
2138001AH1WZKRFPMO20,HGCAPITAL 8 D L.P.,N/A,N/A
2138001AI94TFC9QZ908,ΑΙΟΛΙΚΗ ΑΔΕΡΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ,N/A,N/A
2138001AHTVV6KKKTW23,KIRBY DEVON LIMITED,N/A,N/A
2138001AIMVC4IALBA20,THE NEW FRIAR TRUST,N/A,N/A
2138001AH2FYN6B88N87,TREND VENTURES PCC LIMITED,N/A,N/A
2138001AK4ZIQ2RX3534,WILL TRUST FOR S E PEARD,N/A,N/A
2138001AJ11HBW5Q1626,THE PIONEER TRUST,N/A,N/A
2138001AKQJZXIMXJN55,EQT X (NO.1) EUR SCSP,N/A,N/A
2138001AK5MV4OSDS614,MAURICE LAMBERT WILL TRUST,N/A,N/A
2138001AKVGFYBAKOZ63,LEONARD WALTERS WILL TRUST,N/A,N/A
2138001AK25DQN28XR58,WALCOTT ASSOCIATES SA (LOAN),N/A,N/A
2138001AJZ6TWT8LYQ90,STICHTING HET NEDERLANDSE PENSIOENFONDS PENSIOENKRING PEPSICO,N/A,N/A
2138001AK1DS1212DC27,FITZWILLIAM COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,N/A,N/A
2138001AK967PSAEFS88,MRS E CATTERMOLE WILL TRUST,N/A,N/A
2138001ALYIGOQ79L238,"OXFORD MASONIC HALL COMPANY, LIMITED(THE)",N/A,N/A
2138001ALS7PONBHZP18,ANTOINETTE PEARSON DISCRETIONARY SETTLEMENT,N/A,N/A
2138001AMAUZLYTUWP52,TELESTO HOLDINGS LIMITED,N/A,N/A
2138001AM7BOTP8BZP52,FMM INVESTMENTS LIMITED,N/A,N/A
2138001ALC696FAJR179,BERRY & OAK LIMITED,N/A,N/A
2138001AJSPNTANSQD51,NINETY ONE CREDIT OPPORTUNITIES 4 HOLDING FUND,213800Q3CTPT1LM3XF96,NINETY ONE ASSURANCE LIMITED
2138001ANTFZJS7SGX19,AHANA TECHNOLOGIES LTD,N/A,N/A
2138001AMSRCCN5W7B40,LFC DEVELOPMENTS LIMITED RETIREMENT BENEFITS SCHEME,N/A,N/A
2138001ANGWZE6XDWC07,DIDIGROUP LIMITED,N/A,N/A
2138001AMFCOGPZCXR42,RICHARD HIGHAM SETTLEMENT 2014,N/A,N/A
2138001AMVFBKCK9VQ14,W J H MATTHEWS TRUST,N/A,N/A
2138001AMZU4H1DCBL47,GREYSON HOLDINGS LIMITED,N/A,N/A
2138001AO27B9PF5U339,MARY MCNERNEY TRUST,N/A,N/A
2138001AMN91VSL9NX73,RIGHTACRES PROPERTY CO. LIMITED,N/A,N/A
2138001ANY7W6B68B676,"NORDIC CAPITAL IX BETA, L.P.",N/A,N/A
2138001AOK5OUCARC205,POMPHREYS,N/A,N/A
2138001AOJEWXR2APL21,COOL SAILING LIMITED.,N/A,N/A
2138001AOS6TK7YZJO88,MR AND MRS NICHOLAS CURNOW'S 2017 DISCRETIONARY TRUST,N/A,N/A
